trial,true_label,pred_label,pred_name,cmd_for_unity,is_error
0,2,0,idle,0,0
1,1,1,right,1,0
2,1,1,right,1,0
3,1,2,left,0,1
4,1,1,right,1,0
5,2,2,left,2,0
6,2,2,left,2,0
7,2,1,right,0,1
8,1,0,idle,0,0
9,2,2,left,2,0
10,2,2,left,2,0
11,1,2,left,0,1
12,2,2,left,2,0
13,1,1,right,1,0
14,1,2,left,0,1
