trial,true_label,pred_label,pred_name
0,2,0,idle
1,2,2,left
2,2,2,left
3,2,2,left
4,1,2,left
5,2,2,left
6,1,2,left
7,1,1,right
8,1,1,right
9,1,1,right
10,2,1,right
11,1,1,right
12,2,0,idle
13,2,1,right
14,1,1,right
