trial,true_label,pred_label,pred_name,cmd_for_unity,is_error
0,1,2,left,0,1
1,1,2,left,0,1
2,2,2,left,2,0
3,2,2,left,2,0
4,2,2,left,2,0
5,1,1,right,1,0
6,1,2,left,0,1
7,1,0,idle,0,0
8,2,2,left,2,0
9,1,1,right,1,0
10,2,2,left,2,0
11,1,0,idle,0,0
12,2,2,left,2,0
13,1,2,left,0,1
14,2,0,idle,0,0
