trial,true_label,pred_label,pred_name,cmd_for_unity,is_error
0,2,2,left,2,0
1,1,2,left,0,1
2,2,0,idle,0,0
3,2,2,left,2,0
4,1,0,idle,0,0
5,2,0,idle,0,0
6,1,1,right,1,0
7,1,0,idle,0,0
8,2,2,left,2,0
9,1,1,right,1,0
10,2,2,left,2,0
11,1,1,right,1,0
12,1,1,right,1,0
13,2,0,idle,0,0
14,2,0,idle,0,0
